id,title,doi,openaire_url,url
paper_001,Stellar and dust SED modelling of the Whirlpool interacting galaxy system,10.1017/s1743921312008848,https://explore.openaire.eu/search/publication?pid=10.1017/s1743921312008848,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B91C0522448A33BFD137E367F96C3134/S1743921312008848a.pdf/stellar-and-dust-sed-modelling-of-the-whirlpool-interacting-galaxy-system.pdf
paper_002,Spiral structure of the Milky Way and external galaxies,10.1017/s0074180900242587,https://explore.openaire.eu/search/publication?pid=10.1017/s0074180900242587,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BB9C6D3A0598168ECD5D04114339F05D/S0074180900242587a.pdf/spiral-structure-of-the-milky-way-and-external-galaxies.pdf
paper_003,Deflection of the hypervelocity stars by the dance of the Milky Way and Large Magellanic Cloud,10.48550/arxiv.2004.00633,https://explore.openaire.eu/search/publication?pid=10.48550/arxiv.2004.00633,https://arxiv.org/pdf/2004.00633
paper_004,HST photometry of Globular Clusters in the Sombrero Galaxy,10.48550/arxiv.astro-ph/0107082,https://explore.openaire.eu/search/publication?pid=10.48550/arxiv.astro-ph/0107082,https://arxiv.org/pdf/astro-ph/0107082
paper_005,Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei,10.48550/arxiv.2503.13315,https://explore.openaire.eu/search/publication?pid=10.1103/rr8k-3l3k,https://arxiv.org/pdf/2503.13315
paper_006,High-Velocity Neutral Hydrogen in the Central Region of the Andromeda Galaxy,10.1086/151562,https://explore.openaire.eu/search/publication?pid=10.1086/151562,https://articles.adsabs.harvard.edu/pdf/1972ApJ...175..347W
paper_007,A Photometric Study of Markarian Galaxies,10.1086/152205,https://explore.openaire.eu/search/publication?pid=10.1086/152205,https://articles.adsabs.harvard.edu/pdf/1973ApJ...183...29W
paper_008,The X-ray variability history of Markarian 3,10.1051/0004-6361/201219946,https://explore.openaire.eu/search/publication?pid=10.1051/0004-6361/201219946,https://www.aanda.org/articles/aa/pdf/2012/11/aa19946-12.pdf
paper_009,Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality,10.48550/arxiv.1107.0757,https://explore.openaire.eu/search/publication?pid=10.25916/sut.26218295.v1,https://arxiv.org/pdf/1107.0757
paper_010,Evidence for X-Radiation from the Radio Galaxy M87,10.1086/180125,https://explore.openaire.eu/search/publication?pid=10.1086/180125,https://articles.adsabs.harvard.edu/pdf/1967ApJ...150L.199B
paper_011,Triangulum galaxy viewed byPlanck,10.1051/0004-6361/201628780,https://explore.openaire.eu/search/publication?pid=10.1051/0004-6361/201628780,https://www.aanda.org/articles/aa/pdf/2016/09/aa28780-16.pdf
paper_012,Mass spectrum of star formation in the Sombrero galaxy,10.1086/111957,https://explore.openaire.eu/search/publication?pid=10.1086/111957,https://articles.adsabs.harvard.edu/pdf/1976AJ.....81..797V
paper_013,Triangulum IV: A Possible Ultra-Diffuse Satellite of M33,10.48550/arxiv.2407.07481,https://explore.openaire.eu/search/publication?pid=10.48550/arxiv.2407.07481,https://arxiv.org/pdf/2407.07481
paper_014,A Survey for RR Lyrae Variables in the Large Magellanic Cloud,10.1017/s0074180900200867,https://explore.openaire.eu/search/publication?pid=10.1007/978-94-011-3432-3_93,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0F8EEA3BC1952E2EA8916ED8A666C99D/S0074180900200867a.pdf/a-survey-for-rr-lyrae-variables-in-the-large-magellanic-cloud.pdf
paper_015,The Calculations of Gravity Fields and Rotation Curves of Whirlpool Galaxies and Dark Material,10.48550/arxiv.0903.1962,https://explore.openaire.eu/search/publication?pid=10.48550/arxiv.0903.1962,https://arxiv.org/pdf/0903.1962
paper_016,Phase-space Correlation in Stellar Streams of the Milky Way Halo: The Clash of Kshir and GD-1*,10.3847/2041-8213/ab530e,https://explore.openaire.eu/search/publication?pid=10.3847%2F2041-8213%2Fab530e,
paper_023,Fire and Ice in the Whirlpool: Spatially Resolved Scaling Relations between X-Ray-emitting Hot Gas and Cold Molecular Gas in M51,10.3847/2041-8213/ad9f5e,https://explore.openaire.eu/search/publication?pid=10.3847/2041-8213/ad9f5e,https://iopscience.iop.org/article/10.3847/2041-8213/ad9f5e/pdf
paper_024,Surveying the Whirlpool at Arcseconds with NOEMA (SWAN),10.1051/0004-6361/202348205,https://explore.openaire.eu/search/publication?pid=10.1051/0004-6361/202348205,https://www.aanda.org/articles/aa/pdf/2023/12/aa48205-23.pdf
paper_025,The X-ray polarization of the Cygnus sources,10.1086/158027,https://explore.openaire.eu/search/publication?pid=10.1086/158027,https://articles.adsabs.harvard.edu/pdf/1980ApJ...238..710L
paper_026,The X-Ray/Radio/Flaring Properties of Cygnus X-3,10.48550/arxiv.1003.4278,https://explore.openaire.eu/search/publication?pid=10.48550/arxiv.1003.4278,https://arxiv.org/pdf/1003.4278
paper_027,"X-Ray Source Positions for Cygnus X-1, Cygnus X-2, and Cygnus X-3",10.1086/180775,https://explore.openaire.eu/search/publication?pid=10.1086/180775,https://articles.adsabs.harvard.edu/pdf/1971ApJ...168L..15T
paper_028,Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES,10.1017/s1743921305006356,https://explore.openaire.eu/search/publication?pid=10.1017/s1743921305006356,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CC78FE252E825D0DBB78153D5B77F892/S1743921305006356a.pdf/chemistry-of-stars-in-the-sculptor-dwarf-galaxy-from-vlt-flames.pdf
paper_029,Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy,10.1086/496975,https://explore.openaire.eu/search/publication?pid=10.1086/496975,https://iopscience.iop.org/article/10.1086/496975/pdf
paper_030,The ESO-Sculptor Survey: Galaxy Populations and Luminosity Function at z < 0.5,10.48550/arxiv.astro-ph/9808360 ,https://explore.openaire.eu/search/publication?pid=10.48550/arxiv.astro-ph/9808360,https://arxiv.org/pdf/astro-ph/9808360
